,en-R2Tg_delta-FADD_RNA-Seq-rep1.HTSeq.out,en-R2Tg_delta-FADD_RNA-Seq-rep2.HTSeq.out,en-R2Tg_NC_RNA-Seq-rep1.HTSeq.out,en-R2Tg_NC_RNA-Seq-rep2.HTSeq.out,en-R2Tg_RNA-Seq-rep1.HTSeq.out,en-R2Tg_RNA-Seq-rep2.HTSeq.out
KRT6A,0,0,0,0,0,0
KRT6B,0,0,0,0,0,0
KRT6C,0,0,0,0,0,0
KRT7,0,4,1,0,0,0
KRT7-AS,0,1,0,0,0,0
KRT71,0,0,0,0,0,0
KRT72,0,0,0,0,0,0
KRT73,0,0,0,0,1,0
KRT73-AS1,0,0,0,0,0,0
KRT74,0,2,2,0,1,0
KRT75,0,0,0,0,0,0
KRT76,0,0,0,0,0,0
KRT77,0,0,0,0,0,0
KRT78,0,0,1,3,0,0
KRT79,0,0,0,0,0,0
KRT8,398,546,510,384,602,503
KRT80,5,18,6,1,21,14
KRT81,0,0,0,0,0,2
KRT82,0,0,0,0,0,0
KRT83,1,5,1,1,1,7
KRT84,0,0,1,0,0,2
KRT85,0,0,0,0,0,0
KRT86,0,0,2,2,0,2
KRT87P,0,0,0,0,0,0
KRT8P41,0,0,0,0,0,1
KRT9,0,0,0,0,0,0
KRTAP1-1,0,0,0,0,0,0
KRTAP1-3,0,0,0,0,0,0
KRTAP1-4,0,0,0,0,0,0
KRTAP1-5,0,0,0,0,0,0
KRTAP10-1,0,0,0,0,0,0
KRTAP10-10,1,0,0,0,0,0
